;; ;;Palgainfo;;;Ettevõtete arv;;;;Töötajatega ettevõtete arv  ;;;Käibemaksuinfo;;;;Tööjõumaksud;
KUU;MAAKOND;KOHALIK OMAVALITSUS;TEGEVUSALA;Keskmine palk sellel tegevusalal omavalitsuse territooriumil tegutsevates ettevõtetes (eurodes);Keskmine palk Eestis (eurodes);Keskmine palk sellel tegevusalal (eurodes);Juriidiliste isikute arv omavalitsuses;Tegutsevate ettevõtete arv omavalitsuses;Tegutsevate ettevõtete arv Eestis;Tegutsevate ettevõtete arv sellel tegevusalal  ;Töötajatega ettevõtete arv omavalitsuses;Töötajatega ettevõtete arv Eestis;Töötajatega ettevõtete arv sellel tegevusalal Eestis;Deklaratsiooni KMD esitavate juriidiliste isikute arv omavalitsuses;Käive kokku (eurodes);Eksport  (eurodes);Tasumisele kuuluv käibemaks (eurodes);Omavalitsuse tööandjate deklaratsioonis TSD märgitud töötajate arv;Omavalitsuse tööandjate  deklareeritud tööjõumaksud (eurodes)
4;Harju maakond;KOSE VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1753;2103;4194;5;4;96187;675;1;61548;175;5;186011;0;1468;12;10661
4;Harju maakond;KOSE VALD;EHITUS;1160;2103;1782;151;78;96187;12038;59;61548;8986;96;1355698;44;109106;162;82215
4;Harju maakond;KOSE VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1846;2103;1762;149;68;96187;16741;41;61548;10886;87;3765709;1018741;1545;169;150716
4;Harju maakond;KOSE VALD;VEONDUS JA LAONDUS;1612;2103;1985;48;29;96187;5418;23;61548;4017;32;533550;0;45882;60;45411
4;Harju maakond;KOSE VALD;MAJUTUS JA TOITLUSTUS;1259;2103;1315;38;18;96187;3261;15;61548;2426;22;498845;0;31870;113;63677
4;Harju maakond;KOSE VALD;INFO JA SIDE;2091;2103;3609;60;17;96187;8194;8;61548;3524;21;345050;0;-34045;43;44152
4;Harju maakond;KOSE VALD;FINANTS- JA KINDLUSTUSTEGEVUS;1104;2103;3416;16;2;96187;1090;1;61548;735;2;20728;0;3328;1;477
4;Harju maakond;KOSE VALD;KINNISVARAALANE TEGEVUS;1040;2103;1583;90;21;96187;7045;8;61548;2942;29;270947;0;38576;9;3132
4;Harju maakond;KOSE VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1704;2103;2455;162;45;96187;14547;29;61548;8075;48;367845;0;33623;65;51059
4;Harju maakond;KOSE VALD;HALDUS- JA ABITEGEVUSED;1031;2103;1852;84;33;96187;5330;21;61548;3297;37;176059;0;6768;27;13666
4;Harju maakond;KOSE VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1737;2103;2178;3;;96187;;;61548;;0;0;0;0;480;396621
4;Harju maakond;KOSE VALD;HARIDUS;771;2103;2294;41;4;96187;1451;3;61548;994;3;5153;0;771;5;1108
4;Harju maakond;KOSE VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2439;2103;2657;17;9;96187;1750;9;61548;1640;1;0;0;0;106;104781
4;Harju maakond;KOSE VALD;KUNST, MEELELAHUTUS JA VABA AEG;1658;2103;1688;120;11;96187;2437;10;61548;1400;11;141238;0;7575;33;13342
4;Harju maakond;KOSE VALD;MUUD TEENINDAVAD TEGEVUSED;947;2103;1454;117;21;96187;4523;17;61548;3748;13;125894;14505;2232;22;6027
4;Harju maakond;KOSE VALD;Tegevusala määramata;;2103;1597;4;;96187;11;;61548;9;0;0;0;0;;
4;Harju maakond;KUUSALU VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1521;2103;1574;102;34;96187;4009;23;61548;2746;55;1261525;0;75411;88;62659
4;Harju maakond;KUUSALU VALD;MÄETÖÖSTUS;1824;2103;2238;3;3;96187;136;2;61548;100;3;226956;0;29036;20;18575
4;Harju maakond;KUUSALU VALD;TÖÖTLEV TÖÖSTUS;1694;2103;1878;102;46;96187;7267;32;61548;5637;53;5470601;918388;-6847;430;372417
4;Harju maakond;KUUSALU VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;;2103;4194;4;2;96187;675;;61548;175;3;8238;0;480;;
4;Harju maakond;KUUSALU VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1470;2103;1835;15;3;96187;264;2;61548;211;3;417120;0;15969;35;24819
4;Harju maakond;KUUSALU VALD;EHITUS;1330;2103;1782;136;70;96187;12038;42;61548;8986;87;616169;0;23352;79;37921
4;Harju maakond;KUUSALU VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1239;2103;1762;267;75;96187;16741;37;61548;10886;125;2210805;0;110364;65;32825
4;Harju maakond;KUUSALU VALD;VEONDUS JA LAONDUS;1114;2103;1985;62;38;96187;5418;21;61548;4017;42;1209350;0;16016;50;24511
4;Harju maakond;KUUSALU VALD;MAJUTUS JA TOITLUSTUS;1090;2103;1315;40;16;96187;3261;8;61548;2426;19;157882;0;8363;25;12729
4;Harju maakond;KUUSALU VALD;INFO JA SIDE;1621;2103;3609;344;78;96187;8194;13;61548;3524;118;1756497;169;36210;19;14904
4;Harju maakond;KUUSALU VALD;FINANTS- JA KINDLUSTUSTEGEVUS;;2103;3416;50;7;96187;1090;;61548;735;12;627483;0;2237;;
4;Harju maakond;KUUSALU VALD;KINNISVARAALANE TEGEVUS;897;2103;1583;92;14;96187;7045;3;61548;2942;26;163689;0;8355;7;864
4;Harju maakond;KUUSALU VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1695;2103;2455;402;80;96187;14547;30;61548;8075;126;543056;0;15540;42;28715
4;Harju maakond;KUUSALU VALD;HALDUS- JA ABITEGEVUSED;1267;2103;1852;103;28;96187;5330;10;61548;3297;39;348066;0;11538;16;7934
4;Harju maakond;KUUSALU VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1831;2103;2178;5;;96187;;;61548;;1;0;0;-657;366;273703
4;Harju maakond;KUUSALU VALD;HARIDUS;1536;2103;2294;64;10;96187;1451;5;61548;994;10;47252;0;877;10;5752
4;Harju maakond;KUUSALU VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;1525;2103;2657;24;8;96187;1750;6;61548;1640;4;19952;0;563;79;51069
4;Harju maakond;KUUSALU VALD;KUNST, MEELELAHUTUS JA VABA AEG;1664;2103;1688;109;14;96187;2437;6;61548;1400;20;84809;0;-50;20;8369
4;Harju maakond;KUUSALU VALD;MUUD TEENINDAVAD TEGEVUSED;1303;2103;1454;139;17;96187;4523;10;61548;3748;12;119056;0;5889;39;23947
4;Harju maakond;KUUSALU VALD;Tegevusala määramata;;2103;1597;4;;96187;11;;61548;9;0;0;0;0;;
4;Harju maakond;LOKSA LINN;TÖÖTLEV TÖÖSTUS;1358;2103;1878;27;13;96187;7267;9;61548;5637;18;186048;6390;-4495;58;34006
4;Harju maakond;LOKSA LINN;EHITUS;1758;2103;1782;18;6;96187;12038;3;61548;8986;7;165807;0;6505;12;10832
4;Harju maakond;LOKSA LINN;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1253;2103;1762;23;12;96187;16741;7;61548;10886;13;478831;0;16736;23;12712
4;Harju maakond;LOKSA LINN;VEONDUS JA LAONDUS;1404;2103;1985;10;5;96187;5418;5;61548;4017;5;58216;0;5963;16;7793
4;Harju maakond;LOKSA LINN;MAJUTUS JA TOITLUSTUS;900;2103;1315;4;2;96187;3261;2;61548;2426;2;3830;0;-146;2;878
4;Harju maakond;LOKSA LINN;INFO JA SIDE;1046;2103;3609;8;3;96187;8194;2;61548;3524;4;16219;0;1293;4;1613
4;Harju maakond;LOKSA LINN;KINNISVARAALANE TEGEVUS;1504;2103;1583;10;2;96187;7045;1;61548;2942;2;72451;0;6380;13;8552
4;Harju maakond;LOKSA LINN;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1013;2103;2455;14;5;96187;14547;5;61548;8075;7;15372;0;334;6;2813
4;Harju maakond;LOKSA LINN;HALDUS- JA ABITEGEVUSED;803;2103;1852;4;2;96187;5330;1;61548;3297;2;8250;0;1479;1;312
4;Harju maakond;LOKSA LINN;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1533;2103;2178;1;;96187;;;61548;;0;0;0;0;160;103021
4;Harju maakond;LOKSA LINN;HARIDUS;;2103;2294;5;;96187;1451;;61548;994;0;0;0;0;;
4;Harju maakond;LOKSA LINN;KUNST, MEELELAHUTUS JA VABA AEG;773;2103;1688;18;2;96187;2437;2;61548;1400;2;0;0;-38;5;1361
4;Harju maakond;LOKSA LINN;MUUD TEENINDAVAD TEGEVUSED;953;2103;1454;26;5;96187;4523;4;61548;3748;2;585;0;-16;10;3046
4;Harju maakond;LÄÄNE-HARJU VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1108;2103;1574;80;20;96187;4009;14;61548;2746;33;190935;0;13649;26;11819
4;Harju maakond;LÄÄNE-HARJU VALD;TÖÖTLEV TÖÖSTUS;1597;2103;1878;127;63;96187;7267;44;61548;5637;78;6749445;272195;131242;477;385229
4;Harju maakond;LÄÄNE-HARJU VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;307;2103;4194;6;3;96187;675;1;61548;175;3;9879;0;-6404;1;169
4;Harju maakond;LÄÄNE-HARJU VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1399;2103;1835;16;8;96187;264;8;61548;211;10;192027;0;23786;56;35813
4;Harju maakond;LÄÄNE-HARJU VALD;EHITUS;1370;2103;1782;229;101;96187;12038;76;61548;8986;121;1350795;1338;-612;154;84353
4;Harju maakond;LÄÄNE-HARJU VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1814;2103;1762;273;117;96187;16741;68;61548;10886;152;10827059;1404639;-62907;293;253175
4;Harju maakond;LÄÄNE-HARJU VALD;VEONDUS JA LAONDUS;1995;2103;1985;102;52;96187;5418;39;61548;4017;55;5690910;7601;148964;321;315189
4;Harju maakond;LÄÄNE-HARJU VALD;MAJUTUS JA TOITLUSTUS;1418;2103;1315;76;31;96187;3261;23;61548;2426;41;786993;0;20496;174;106122
4;Harju maakond;LÄÄNE-HARJU VALD;INFO JA SIDE;2201;2103;3609;106;26;96187;8194;13;61548;3524;34;133572;0;17853;16;9936
4;Harju maakond;LÄÄNE-HARJU VALD;FINANTS- JA KINDLUSTUSTEGEVUS;554;2103;3416;41;6;96187;1090;1;61548;735;8;16095;0;-32704;3;564
4;Harju maakond;LÄÄNE-HARJU VALD;KINNISVARAALANE TEGEVUS;1294;2103;1583;170;25;96187;7045;6;61548;2942;48;570785;0;-15158;51;23451
4;Harju maakond;LÄÄNE-HARJU VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;2556;2103;2455;240;85;96187;14547;46;61548;8075;102;511067;1370;59007;74;87001
4;Harju maakond;LÄÄNE-HARJU VALD;HALDUS- JA ABITEGEVUSED;1588;2103;1852;148;45;96187;5330;21;61548;3297;59;518715;0;34501;48;30137
4;Harju maakond;LÄÄNE-HARJU VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1806;2103;2178;4;;96187;;;61548;;1;6145;0;240;619;512859
4;Harju maakond;LÄÄNE-HARJU VALD;HARIDUS;1301;2103;2294;70;7;96187;1451;5;61548;994;5;38785;0;-385;5;1903
4;Harju maakond;LÄÄNE-HARJU VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;1777;2103;2657;30;7;96187;1750;7;61548;1640;3;371518;0;864;156;123382
4;Harju maakond;LÄÄNE-HARJU VALD;KUNST, MEELELAHUTUS JA VABA AEG;1517;2103;1688;176;28;96187;2437;20;61548;1400;32;267194;0;17216;58;42013
4;Harju maakond;LÄÄNE-HARJU VALD;MUUD TEENINDAVAD TEGEVUSED;1131;2103;1454;210;32;96187;4523;25;61548;3748;33;101273;0;538;57;21402
4;Harju maakond;LÄÄNE-HARJU VALD;Tegevusala määramata;;2103;1597;8;;96187;11;;61548;9;0;0;0;0;;
4;Harju maakond;MAARDU LINN;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1201;2103;1574;15;3;96187;4009;2;61548;2746;4;340396;0;49593;36;20475
4;Harju maakond;MAARDU LINN;TÖÖTLEV TÖÖSTUS;1638;2103;1878;170;93;96187;7267;72;61548;5637;109;18616110;3050732;128921;1272;1080644
4;Harju maakond;MAARDU LINN;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1565;2103;4194;14;3;96187;675;2;61548;175;3;245213;0;12694;19;12812
4;Harju maakond;MAARDU LINN;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1948;2103;1835;15;10;96187;264;9;61548;211;13;2138271;11610;-64575;51;38164
4;Harju maakond;MAARDU LINN;EHITUS;1456;2103;1782;293;144;96187;12038;113;61548;8986;158;3738050;0;120107;396;257578
4;Harju maakond;MAARDU LINN;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1946;2103;1762;432;223;96187;16741;162;61548;10886;269;43074082;3375071;446665;1143;1075864
4;Harju maakond;MAARDU LINN;VEONDUS JA LAONDUS;1817;2103;1985;217;114;96187;5418;93;61548;4017;125;9888335;24677;-203443;790;724777
4;Harju maakond;MAARDU LINN;MAJUTUS JA TOITLUSTUS;1266;2103;1315;52;18;96187;3261;16;61548;2426;21;250791;0;18122;76;36260
4;Harju maakond;MAARDU LINN;INFO JA SIDE;1651;2103;3609;97;29;96187;8194;16;61548;3524;39;218225;1949;19488;27;21491
4;Harju maakond;MAARDU LINN;FINANTS- JA KINDLUSTUSTEGEVUS;1093;2103;3416;29;4;96187;1090;2;61548;735;6;48151;44174;-7678;2;642
4;Harju maakond;MAARDU LINN;KINNISVARAALANE TEGEVUS;1429;2103;1583;187;61;96187;7045;30;61548;2942;64;1181555;0;30130;81;48484
4;Harju maakond;MAARDU LINN;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1997;2103;2455;202;66;96187;14547;47;61548;8075;77;1487580;12820;123976;215;210787
4;Harju maakond;MAARDU LINN;HALDUS- JA ABITEGEVUSED;1604;2103;1852;138;50;96187;5330;42;61548;3297;56;1144278;0;106191;154;110322
4;Harju maakond;MAARDU LINN;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1777;2103;2178;3;;96187;;;61548;;0;0;0;0;94;89319
4;Harju maakond;MAARDU LINN;HARIDUS;1607;2103;2294;60;12;96187;1451;9;61548;994;6;33017;0;888;487;377588
4;Harju maakond;MAARDU LINN;TERVISHOID JA SOTSIAALHOOLEKANNE;1789;2103;2657;39;14;96187;1750;14;61548;1640;1;0;0;0;188;152886
4;Harju maakond;MAARDU LINN;KUNST, MEELELAHUTUS JA VABA AEG;1339;2103;1688;96;11;96187;2437;7;61548;1400;12;65506;0;8766;53;31321
4;Harju maakond;MAARDU LINN;MUUD TEENINDAVAD TEGEVUSED;996;2103;1454;207;50;96187;4523;45;61548;3748;29;189182;127;20122;92;35249
4;Harju maakond;MAARDU LINN;Tegevusala määramata;;2103;1597;8;;96187;11;;61548;9;1;0;0;-19;;
4;Harju maakond;RAASIKU VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1277;2103;1574;45;20;96187;4009;10;61548;2746;27;304461;0;-68187;20;8993
4;Harju maakond;RAASIKU VALD;TÖÖTLEV TÖÖSTUS;1899;2103;1878;73;42;96187;7267;31;61548;5637;49;6004220;347336;-109618;564;555786
4;Harju maakond;RAASIKU VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1775;2103;1835;2;2;96187;264;2;61548;211;2;109415;0;-5169;11;9964
4;Harju maakond;RAASIKU VALD;EHITUS;1553;2103;1782;145;80;96187;12038;50;61548;8986;91;1532358;0;62465;125;86086
4;Harju maakond;RAASIKU VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1257;2103;1762;91;52;96187;16741;33;61548;10886;53;982079;29;68350;109;52904
4;Harju maakond;RAASIKU VALD;VEONDUS JA LAONDUS;1379;2103;1985;53;37;96187;5418;29;61548;4017;37;1182723;0;79087;145;96183
4;Harju maakond;RAASIKU VALD;MAJUTUS JA TOITLUSTUS;1733;2103;1315;14;8;96187;3261;3;61548;2426;8;58443;0;3130;13;6769
4;Harju maakond;RAASIKU VALD;INFO JA SIDE;2745;2103;3609;39;14;96187;8194;8;61548;3524;15;63878;0;9241;11;7912
4;Harju maakond;RAASIKU VALD;KINNISVARAALANE TEGEVUS;1164;2103;1583;44;15;96187;7045;9;61548;2942;16;65007;0;7738;10;3905
4;Harju maakond;RAASIKU VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1546;2103;2455;123;37;96187;14547;22;61548;8075;43;156883;0;14163;35;22083
4;Harju maakond;RAASIKU VALD;HALDUS- JA ABITEGEVUSED;1297;2103;1852;67;28;96187;5330;18;61548;3297;28;250338;0;18914;28;10845
4;Harju maakond;RAASIKU VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1605;2103;2178;1;;96187;;;61548;;0;0;0;0;295;243306
4;Harju maakond;RAASIKU VALD;HARIDUS;1355;2103;2294;34;2;96187;1451;1;61548;994;2;16407;0;-236;34;21643
4;Harju maakond;RAASIKU VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2097;2103;2657;19;5;96187;1750;4;61548;1640;2;3583;0;-4;18;13561
4;Harju maakond;RAASIKU VALD;KUNST, MEELELAHUTUS JA VABA AEG;1740;2103;1688;80;10;96187;2437;6;61548;1400;12;19361;0;1958;23;10801
4;Harju maakond;RAASIKU VALD;MUUD TEENINDAVAD TEGEVUSED;1083;2103;1454;84;18;96187;4523;15;61548;3748;10;54297;0;3015;19;8395
4;Harju maakond;RAASIKU VALD;Tegevusala määramata;;2103;1597;1;;96187;11;;61548;9;0;0;0;0;;
4;Harju maakond;RAE VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1260;2103;1574;59;17;96187;4009;13;61548;2746;28;319520;0;-37447;47;24887
4;Harju maakond;RAE VALD;MÄETÖÖSTUS;2293;2103;2238;4;3;96187;136;3;61548;100;4;844299;0;3656;66;77094
4;Harju maakond;RAE VALD;TÖÖTLEV TÖÖSTUS;2168;2103;1878;353;220;96187;7267;173;61548;5637;255;68994728;5734835;728039;4986;5768443
4;Harju maakond;RAE VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;2133;2103;4194;36;13;96187;675;2;61548;175;14;791084;0;74047;27;30842
4;Harju maakond;RAE VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";2091;2103;1835;11;6;96187;264;5;61548;211;7;232466;0;-17469;16;14107
4;Harju maakond;RAE VALD;EHITUS;1808;2103;1782;589;314;96187;12038;231;61548;8986;374;15525817;570;481150;1234;1131630
4;Harju maakond;RAE VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1901;2103;1762;964;571;96187;16741;392;61548;10886;675;284995892;14714525;23585098;8412;8084132
4;Harju maakond;RAE VALD;VEONDUS JA LAONDUS;2092;2103;1985;270;162;96187;5418;116;61548;4017;192;46999715;110866;475163;2586;2842372
4;Harju maakond;RAE VALD;MAJUTUS JA TOITLUSTUS;1261;2103;1315;100;45;96187;3261;33;61548;2426;53;925491;0;62578;179;92624
4;Harju maakond;RAE VALD;INFO JA SIDE;2201;2103;3609;367;116;96187;8194;76;61548;3524;158;1642312;12553;106407;171;178616
4;Harju maakond;RAE VALD;FINANTS- JA KINDLUSTUSTEGEVUS;1930;2103;3416;198;21;96187;1090;13;61548;735;27;2043859;0;28374;18;15160
4;Harju maakond;RAE VALD;KINNISVARAALANE TEGEVUS;1892;2103;1583;548;167;96187;7045;60;61548;2942;205;7047743;4500;131458;103;74362
4;Harju maakond;RAE VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;2313;2103;2455;977;369;96187;14547;205;61548;8075;404;6398509;410357;150434;525;575291
4;Harju maakond;RAE VALD;HALDUS- JA ABITEGEVUSED;1670;2103;1852;353;144;96187;5330;95;61548;3297;168;5379134;5158;59619;440;326327
4;Harju maakond;RAE VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1773;2103;2178;4;;96187;;;61548;;2;269403;0;31894;1323;1199859
4;Harju maakond;RAE VALD;HARIDUS;1652;2103;2294;187;38;96187;1451;24;61548;994;27;97466;0;11390;61;35789
4;Harju maakond;RAE VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2115;2103;2657;76;25;96187;1750;23;61548;1640;7;45355;0;1281;98;83287
4;Harju maakond;RAE VALD;KUNST, MEELELAHUTUS JA VABA AEG;2123;2103;1688;311;55;96187;2437;25;61548;1400;75;1078556;0;100948;109;105946
4;Harju maakond;RAE VALD;MUUD TEENINDAVAD TEGEVUSED;1132;2103;1454;348;87;96187;4523;69;61548;3748;63;301662;0;-3459;110;43720
4;Harju maakond;SAKU VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1107;2103;1574;66;19;96187;4009;11;61548;2746;31;313861;0;24213;23;11497
4;Harju maakond;SAKU VALD;TÖÖTLEV TÖÖSTUS;2485;2103;1878;172;95;96187;7267;68;61548;5637;108;35044989;1643671;-252405;1331;1763053
4;Harju maakond;SAKU VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;2345;2103;4194;9;3;96187;675;2;61548;175;3;432734;0;20314;21;27224
4;Harju maakond;SAKU VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1236;2103;1835;7;3;96187;264;2;61548;211;2;3798;0;262;3;1854
4;Harju maakond;SAKU VALD;EHITUS;1713;2103;1782;288;175;96187;12038;130;61548;8986;203;5137556;0;309581;406;337804
4;Harju maakond;SAKU VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;2053;2103;1762;370;202;96187;16741;129;61548;10886;240;45334021;241489;4105328;1313;1404719
4;Harju maakond;SAKU VALD;VEONDUS JA LAONDUS;1897;2103;1985;116;72;96187;5418;58;61548;4017;82;12135363;0;-171986;420;409478
4;Harju maakond;SAKU VALD;MAJUTUS JA TOITLUSTUS;1212;2103;1315;44;24;96187;3261;14;61548;2426;26;478618;0;40728;114;58217
4;Harju maakond;SAKU VALD;INFO JA SIDE;2078;2103;3609;162;49;96187;8194;23;61548;3524;65;428746;0;50193;29;30187
4;Harju maakond;SAKU VALD;FINANTS- JA KINDLUSTUSTEGEVUS;820;2103;3416;67;6;96187;1090;2;61548;735;11;39745;0;5068;2;668
4;Harju maakond;SAKU VALD;KINNISVARAALANE TEGEVUS;1483;2103;1583;223;65;96187;7045;26;61548;2942;85;1290594;0;104816;34;20279
4;Harju maakond;SAKU VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;2580;2103;2455;443;149;96187;14547;75;61548;8075;182;1124240;0;73118;139;174402
4;Harju maakond;SAKU VALD;HALDUS- JA ABITEGEVUSED;2043;2103;1852;182;67;96187;5330;47;61548;3297;69;2193211;0;160716;222;217654
4;Harju maakond;SAKU VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1740;2103;2178;5;;96187;;;61548;;1;38331;0;1866;602;561238
4;Harju maakond;SAKU VALD;HARIDUS;1348;2103;2294;88;11;96187;1451;6;61548;994;14;72230;0;-824;28;14582
4;Harju maakond;SAKU VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2849;2103;2657;38;9;96187;1750;8;61548;1640;5;8648;0;755;58;74714
4;Harju maakond;SAKU VALD;KUNST, MEELELAHUTUS JA VABA AEG;1566;2103;1688;178;33;96187;2437;15;61548;1400;34;438507;22156;24726;72;47877
4;Harju maakond;SAKU VALD;MUUD TEENINDAVAD TEGEVUSED;1776;2103;1454;187;48;96187;4523;39;61548;3748;37;308609;0;12647;74;59882
4;Harju maakond;SAKU VALD;Tegevusala määramata;;2103;1597;3;;96187;11;;61548;9;0;0;0;0;;
4;Harju maakond;SAUE VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1342;2103;1574;139;49;96187;4009;37;61548;2746;76;1593838;0;12020;141;90425
4;Harju maakond;SAUE VALD;TÖÖTLEV TÖÖSTUS;2239;2103;1878;344;201;96187;7267;155;61548;5637;231;37460581;1691285;-713784;2673;3184407
4;Harju maakond;SAUE VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1335;2103;4194;24;11;96187;675;6;61548;175;20;81849;0;5252;8;4211
4;Harju maakond;SAUE VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1776;2103;1835;9;6;96187;264;4;61548;211;6;320551;6465;-17067;32;25764
4;Harju maakond;SAUE VALD;EHITUS;1511;2103;1782;546;308;96187;12038;203;61548;8986;352;5591612;0;120530;489;303469
4;Harju maakond;SAUE VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;2282;2103;1762;705;318;96187;16741;185;61548;10886;426;97788346;2395376;5987140;1436;1697385
4;Harju maakond;SAUE VALD;VEONDUS JA LAONDUS;1649;2103;1985;222;118;96187;5418;81;61548;4017;133;7351155;0;102794;632;485365
4;Harju maakond;SAUE VALD;MAJUTUS JA TOITLUSTUS;1473;2103;1315;122;68;96187;3261;53;61548;2426;72;3751217;0;206894;743;387176
4;Harju maakond;SAUE VALD;INFO JA SIDE;3011;2103;3609;304;95;96187;8194;50;61548;3524;125;994873;0;80420;102;152624
4;Harju maakond;SAUE VALD;FINANTS- JA KINDLUSTUSTEGEVUS;1248;2103;3416;131;12;96187;1090;8;61548;735;21;29855;0;3880;12;3891
4;Harju maakond;SAUE VALD;KINNISVARAALANE TEGEVUS;2353;2103;1583;462;101;96187;7045;50;61548;2942;126;2107347;0;-82620;236;213957
4;Harju maakond;SAUE VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1981;2103;2455;809;284;96187;14547;167;61548;8075;327;1846167;20000;160466;338;283310
4;Harju maakond;SAUE VALD;HALDUS- JA ABITEGEVUSED;1862;2103;1852;319;119;96187;5330;68;61548;3297;137;1509132;9551;46585;174;133576
4;Harju maakond;SAUE VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";2091;2103;2178;6;;96187;;;61548;;1;0;0;0;824;825171
4;Harju maakond;SAUE VALD;HARIDUS;1850;2103;2294;173;24;96187;1451;14;61548;994;19;163785;0;20168;134;101612
4;Harju maakond;SAUE VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2097;2103;2657;85;26;96187;1750;25;61548;1640;7;40957;0;2088;159;149963
