;; ;;Palgainfo;;;Ettevõtete arv;;;;Töötajatega ettevõtete arv  ;;;Käibemaksuinfo;;;;Tööjõumaksud;
KUU;MAAKOND;KOHALIK OMAVALITSUS;TEGEVUSALA;Keskmine palk sellel tegevusalal omavalitsuse territooriumil tegutsevates ettevõtetes (eurodes);Keskmine palk Eestis (eurodes);Keskmine palk sellel tegevusalal (eurodes);Juriidiliste isikute arv omavalitsuses;Tegutsevate ettevõtete arv omavalitsuses;Tegutsevate ettevõtete arv Eestis;Tegutsevate ettevõtete arv sellel tegevusalal  ;Töötajatega ettevõtete arv omavalitsuses;Töötajatega ettevõtete arv Eestis;Töötajatega ettevõtete arv sellel tegevusalal Eestis;Deklaratsiooni KMD esitavate juriidiliste isikute arv omavalitsuses;Käive kokku (eurodes);Eksport  (eurodes);Tasumisele kuuluv käibemaks (eurodes);Omavalitsuse tööandjate deklaratsioonis TSD märgitud töötajate arv;Omavalitsuse tööandjate  deklareeritud tööjõumaksud (eurodes)
1;Harju maakond;KIILI VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1797;1987;1678;219;92;93709;16421;46;61219;10798;115;2449450;25219;217514;164;139401
1;Harju maakond;KIILI VALD;VEONDUS JA LAONDUS;1251;1987;1733;67;40;93709;5322;34;61219;4051;42;2325543;0;-30740;237;136142
1;Harju maakond;KIILI VALD;MAJUTUS JA TOITLUSTUS;951;1987;1286;19;7;93709;3159;6;61219;2443;11;83161;0;6017;22;8128
1;Harju maakond;KIILI VALD;INFO JA SIDE;1904;1987;3378;113;36;93709;7933;21;61219;3479;49;197116;0;24779;27;17910
1;Harju maakond;KIILI VALD;FINANTS- JA KINDLUSTUSTEGEVUS;2806;1987;2920;36;2;93709;1066;1;61219;730;3;8;0;-3;2;698
1;Harju maakond;KIILI VALD;KINNISVARAALANE TEGEVUS;1618;1987;1417;130;31;93709;6953;8;61219;2934;51;296843;0;-28532;25;18497
1;Harju maakond;KIILI VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1383;1987;2330;253;93;93709;14046;45;61219;7988;102;386076;0;34948;58;28965
1;Harju maakond;KIILI VALD;HALDUS- JA ABITEGEVUSED;1317;1987;1848;88;25;93709;5185;16;61219;3243;33;399682;0;-50107;79;46113
1;Harju maakond;KIILI VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1835;1987;2215;2;;93709;;;61219;;0;0;0;0;269;235247
1;Harju maakond;KIILI VALD;HARIDUS;998;1987;2265;54;10;93709;1420;8;61219;998;13;46144;0;4003;13;4237
1;Harju maakond;KIILI VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;1657;1987;2673;21;3;93709;1715;2;61219;1613;3;5463;0;-13;7;5837
1;Harju maakond;KIILI VALD;KUNST, MEELELAHUTUS JA VABA AEG;1299;1987;1652;98;15;93709;2338;7;61219;1376;20;33754;4041;847;12;4367
1;Harju maakond;KIILI VALD;MUUD TEENINDAVAD TEGEVUSED;1157;1987;1365;107;25;93709;4429;22;61219;3685;12;213413;0;19731;40;17612
1;Harju maakond;KIILI VALD;Tegevusala määramata;672;1987;1712;3;;93709;14;;61219;9;0;0;0;0;2;306
1;Harju maakond;KOSE VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1331;1987;1508;88;34;93709;3856;25;61219;2714;45;930790;0;90002;85;56709
1;Harju maakond;KOSE VALD;TÖÖTLEV TÖÖSTUS;1829;1987;1689;112;60;93709;7120;53;61219;5613;66;6761551;704827;181563;689;637605
1;Harju maakond;KOSE VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1664;1987;2532;5;3;93709;661;1;61219;172;5;327432;0;16726;12;9977
1;Harju maakond;KOSE VALD;EHITUS;1160;1987;1696;165;76;93709;11688;56;61219;9059;96;658571;714;53469;158;76610
1;Harju maakond;KOSE VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1853;1987;1678;147;65;93709;16421;40;61219;10798;87;1487351;125588;-29854;162;145033
1;Harju maakond;KOSE VALD;VEONDUS JA LAONDUS;1477;1987;1733;50;28;93709;5322;23;61219;4051;33;461104;0;18684;61;42089
1;Harju maakond;KOSE VALD;MAJUTUS JA TOITLUSTUS;1242;1987;1286;40;19;93709;3159;14;61219;2443;24;545408;0;47825;101;57885
1;Harju maakond;KOSE VALD;INFO JA SIDE;2271;1987;3378;59;15;93709;7933;8;61219;3479;21;151410;0;-10559;43;47611
1;Harju maakond;KOSE VALD;FINANTS- JA KINDLUSTUSTEGEVUS;850;1987;2920;16;2;93709;1066;1;61219;730;1;500;0;56;1;337
1;Harju maakond;KOSE VALD;KINNISVARAALANE TEGEVUS;890;1987;1417;93;20;93709;6953;8;61219;2934;32;108459;0;10189;9;3163
1;Harju maakond;KOSE VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1449;1987;2330;172;46;93709;14046;29;61219;7988;50;290667;0;20702;62;41777
1;Harju maakond;KOSE VALD;HALDUS- JA ABITEGEVUSED;1075;1987;1848;91;30;93709;5185;22;61219;3243;38;329827;0;7026;28;14651
1;Harju maakond;KOSE VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1646;1987;2215;3;;93709;;;61219;;0;0;0;0;462;368836
