Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
12072476;EFEKT AED OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );670,73;0;3992,16;1
12072507;AWD TRANSPORT, OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );80,39;0;;1
12072677;KAMIN JA PLIIT OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );7969,61;5716,12;108429,76;4
12072753;PÄÄSU FARM OÜ;Äriühing;ei;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Põlva ( Põlva vald );2;0;;
12072772;WOODPAINT OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );1142,72;794,02;5618,02;1
12072789;MEERON OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Viljandi ( Viljandi linn );399,71;0;1970;
12072803;OYRAM OÜ;Äriühing;jah;EHITUS;Tartu ( Tartu vald );3974,24;1876,93;49018,3;1
12072818;PLAYTEST GAMES & MARKETING OÜ;Äriühing;jah;INFO JA SIDE;Tartu ( Tartu linn );1806,99;946,71;3540,06;1
12072832;BC 28 OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Tallinn );585,3;0;717,21;
12072890;KOOLITAJA OÜ;Äriühing;jah;HARIDUS;Rapla ( Rapla vald );23431,15;9711,51;55452,22;10
12072909;I.F.S. OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );9125,69;3988,85;47438,9;3
12072938;PARMIN OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Saku vald );3157,46;1439,73;10185,64;1
12072944;AKNAKODA OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Pärnu ( Pärnu linn );210005,68;56301,6;1203637,29;21
12072950;PARADIISIMEISTRID OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );3547,29;0;27620;
12072996;ELTOLEX, OÜ;Äriühing;jah;EHITUS;Harju ( Rae vald );125010,72;106584,09;391871,58;21
12073010;AVITORN GROUP OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );594,28;0;2699;
12073027;4D CREATIVE OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );6783,17;2176,27;23963,53;
12073033;CONTENT GROUP OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );109,81;0;;
12073079;SELFIS PARTNERS OÜ;Äriühing;jah;EHITUS;Jõgeva ( Põltsamaa vald );5488,89;5583,13;0;5
12073091;LAASTUEKSPERT, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Saue vald );1779,25;0;9073,35;
12073211;FINFORCE GROUP OÜ;Äriühing;jah;EHITUS;Pärnu ( Pärnu linn );4399,84;4753,49;0;3
12073286;KELTS OÜ;Äriühing;jah;EHITUS;Valga ( Otepää vald );86086,31;7810,95;1449184,44;1
12073300;HUG OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );868,81;783,96;450;1
12073317;ANDKER CONSULT OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Võru ( Võru linn );54,2;54,2;;
12073323;AUTOSELLID OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );867,69;867,69;;1
12073381;MMC FOREST OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );7484,37;1330,53;191296,54;2
12073398;B.V KONSULTATSIOONID OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Ida-Viru ( Lüganuse vald );277,2;297,36;;1
12073406;AKSER OÜ;Äriühing;jah;EHITUS;Valga ( Otepää vald );26075,9;4723,73;47420,49;5
12073412;ALLFIX GROUP OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;6112;
12073458;BILANSS & ASSOCIATES OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Luunja vald );;;;1
12073464;KVK PRO SYSTEMS OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;;1
12073493;OÜ THORGATE MANAGEMENT;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );29194,33;14712,54;186994,32;4
12073518;VABAD KOHVIMEISTRID, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Tallinn );45784,32;24371,64;203261,82;23
12073613;MEER INSENERIBÜROO, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Elva vald );;;0;
12073665;PIN ARHITEKTID OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );69380,9;55205,67;195966,66;16
12073719;MOBILE24 OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );523280,1;8520,45;3879103,1;3
12073725;EGMIX BALTIC OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Tartu ( Tartu linn );8115,47;1138,2;13659,48;1
12073760;AIRSMILE OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Harku vald );75370,81;44286,92;263353,51;11
12073808;VALHALLA OÜ;Äriühing;jah;EHITUS;Pärnu ( Pärnu linn );15248,72;6450,72;65138,25;5
12073837;HRISHY, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );349,1;0;1663,94;
12073843;CLIMACON OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Viljandi ( Mulgi vald );4552,58;1757,2;83855,8;1
12073866;TECHNOMUHA OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );418,26;270,6;1315,99;1
12073961;AC RACING OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );0;0;800;
12073990;EXCLUSIVE DESIGN SOLUTIONS OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );2737,79;2204,63;2818;
12074080;TOOLMAN OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );1140,49;739,1;14650;1
12074104;NELIK TEHNIKA OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Jõgeva ( Mustvee vald );1158,85;573,64;3279;1
12074162;PUBLIMON OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );8416,06;1424,9;29450,74;1
12074268;AASK CONSULT OÜ;Äriühing;jah;HARIDUS;Harju ( Lääne-Harju vald );889,15;0;4050;2
12074280;WORLDEXTREMETV OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );447,12;472,74;0;
12074305;WHITE CAMOMILE OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );401,2;435,03;5300;
12074357;SATELLES SATURNI OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );14160,36;13466,96;53226,54;7
12074363;VEGETOIL OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Kose vald );2920,02;3472,31;42725,5;1
12074400;RELATA, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );11031,64;2507,41;70299,16;1
12074423;HEDGEHOG OÜ;Äriühing;jah;INFO JA SIDE;Tartu ( Tartu linn );41157,52;44802,98;181391,88;11
12074452;BG.HOOLDUS OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );;;0;
12074469;BUNKER 50 OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );3659,98;1595,57;7891,36;1
12074475;SOOSALU TALU OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );0;0;18745;
12074535;LIFEISGOODLABS OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );0;0;110088,63;
12074558;ORIGIN GRUPP OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );0;0;0;
12074570;HELI KIRJASTUS OÜ;Äriühing;jah;INFO JA SIDE;Rapla ( Märjamaa vald );258,89;0;6523,84;
12074618;BOP ANIMATION OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );723,23;96,99;3340,66;
12074653;PAINLESS ARTS OÜ;Äriühing;ei;INFO JA SIDE;Lääne-Viru ( Vinni vald );867,69;867,69;;
12074667;SLOVEENIX OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Luunja vald );837,14;837,14;;
12074676;ELCPLAN OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );2532,64;1212,21;11228;1
12074742;LOO METALL OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Jõelähtme vald );94214,57;31136,24;575114,75;21
12074771;M-DIRECT OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );;;0;
12074794;SIMMANIDUO KANNEL OÜ;Äriühing;ei;KUNST, MEELELAHUTUS JA VABA AEG;Tartu ( Tartu linn );;;;1
12074848;PETRAKE, OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Järva ( Paide linn );934,93;1046,08;;1
12074966;OÜ AVIA PORT SERVICES;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );1209,44;1281,6;;3
12075019;ARENDUSKONSULTANT OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Põlva ( Räpina vald );33,88;0;0;
12075026;OVAAL SALONG OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Kiili vald );727,27;386,99;8343,23;1
12075032;BEELAND, OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Jõgeva ( Jõgeva vald );636,67;0;;
12075049;OK LAHENDUSED, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Hiiu ( Hiiumaa vald );5555,09;2847,44;26156,25;
12075055;MARSINA OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Valga ( Otepää vald );0;0;1737;
12075084;KETER GRUPP OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Valga ( Tõrva vald );;;0;
12075090;DKLEX OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );9795,69;88,94;61777,48;
12075115;CB TRUCKER ESTONIA OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );;;0;
12075173;ACCURATE ACCOUNTING OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Pärnu ( Pärnu linn );11,96;0;;
12075210;ECOLAND OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Harku vald );671,64;761,19;;1
12075256;KATIKA EHITUS PLUSS OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );3515,87;3213,48;7379,51;1
12075262;AINI PUIT OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Põlva ( Põlva vald );1301,88;835,62;9879;1
12075316;VILBERG ENGINEERING OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );3619,98;2211,88;7297;1
12075368;EUMEDIA OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Viimsi vald );1918,28;1436,9;5016,71;1
12075374;VÄIKE PARKLA OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );;;0;
12075428;ARVERI OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Viljandi ( Viljandi vald );420,75;492,75;;1
12075457;PAVE EHITUSTEENUSED OÜ;Äriühing;jah;EHITUS;Harju ( Saue vald );0;0;404;
12075463;NORDISCON OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );4770,52;1286,25;24500;
12075500;REKTANGEL OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );63,44;0;300;
12075531;HANSAMER AGRO, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Väike-Maarja vald );1078,87;1223,96;28901,15;1
12075546;METSAENERGIA OÜ;Äriühing;ei;TÖÖTLEV TÖÖSTUS;Harju ( Kose vald );;;;1
12075552;RIMPEX, OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );;;0;
12075606;DTD LOGISTICS GROUP OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1212,86;916,35;28938,11;1
12075612;ALEENA LILLED OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Viimsi vald );490,69;497,91;;1
12075641;BIOKSRA OÜ;Äriühing;jah;TERVISHOID JA SOTSIAALHOOLEKANNE;Lääne-Viru ( Rakvere linn );328,06;320,86;1696,48;
12075701;LOTUS TIMBER OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Maardu linn );393955,52;268056,63;9784340,37;83
12075782;EBND EHITUS OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );;;;1
12075813;A.E.T EHITUS OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Tartu ( Tartu linn );3178,51;1248,18;20399,92;2
12075836;CLEAR CAPITAL OÜ;Äriühing;ei;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Tallinn );4776,51;1956;;
12075888;SONOMA OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );5702,71;1158,62;21392,9;2
12075919;4ALL OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Rae vald );168,3;180,54;;1
12075954;INGEL DRINKS OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Viimsi vald );2775,96;673,74;11587,93;1
12076008;PRAEDIUM OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );9331,88;1274,81;0;1
12076072;BRIGHT CAPITAL OÜ;Äriühing;ei;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );1373,18;1372,9;;
12076095;JASSA, OÜ;Äriühing;jah;INFO JA SIDE;Tartu ( Tartu vald );163,54;0;10199,31;
12076103;MARJAK OÜ;Äriühing;jah;EHITUS;Võru ( Võru linn );0;0;249,59;
12076126;EUM EVENTS OÜ;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Tartu ( Tartu linn );5494,24;3999,44;16341,16;2
12076161;TERVE EHITUSE OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );1805,41;633,3;14100,91;1
12076178;RICAMART OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );900,48;0;14646,19;1
12076190;TEX INVCONS GROOVE, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Lääne-Harju vald );0;0;0;
12076209;HALLIST GROUP OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Jõelähtme vald );309,12;0;413658,58;
12076215;TOMI KETTUNEN OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;0;
12076238;KYLMÄNEN BALTIC OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Elva vald );167,5;0;1188,5;
12076310;BIOKATEL OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Saku vald );5460,55;1694,96;60512,26;3
12076379;AR SERVICES OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Kuusalu vald );8281,15;8864,88;21484,84;2
12076439;AKSTE LOGHOUSES OÜ;Äriühing;jah;EHITUS;Tartu ( Tartu linn );;;0;1
12076445;MARKETLUX, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );5810,23;1251,09;123476,79;2
12076480;FOREST AKTIVA OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Ida-Viru ( Alutaguse vald );2006,98;1073,12;9600;1
12076497;TOILAND VARA OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Ida-Viru ( Toila vald );468,14;0;0;
12076592;MEHHATROONIKUM, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );52709,39;0;324754,2;
12076623;AMG HOUSES OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Järva ( Järva vald );0;0;2000;
12076635;ANDRE TEENUSED OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Viljandi ( Mulgi vald );;;0;
12076646;AMINATES OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );3115,39;1721,18;16340,17;3
12076729;CELER EHITUS OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );0;0;0;1
12076735;EL CASTILLO OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );4948,8;4948,8;;
12076764;QUICK SOLUTIONS OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );19912,32;1574,37;27776;1
12076936;TEAMCOM, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );;;0;
12076965;REST-POLSTER OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Tartu ( Tartu linn );;;;1
12076994;R-COMPANY OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );;;2373,41;
12077054;AGROLINK OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Harju ( Tallinn );425,01;0;4200;
12077108;SNAP-PRINT OÜ;Äriühing;ei;INFO JA SIDE;Saare ( Saaremaa vald );1118,52;1326,12;;1
12077114;TIMTAM ÕIGUSABI OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );51,27;0;;1
12077120;BRIDGE POSTAL & LOGISTICS OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );9030,33;9226,03;33500;2
12077143;VILTRADE OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );;;0;
12077166;TORNEKS OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Tartu ( Tartu linn );3833,13;1835,08;24750;2
12077189;RAUKAS GRUPP OÜ;Äriühing;jah;MÄETÖÖSTUS;Saare ( Saaremaa vald );4275,98;2012,68;14500;2
12077195;RENTVEKA OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );5948,19;5510,95;29160,48;5
12077321;SOLAR WOOD OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Harju ( Tallinn );1455,54;370,04;6061,09;
12077338;SADYERO OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Viljandi ( Viljandi vald );8744,9;4184,32;89250,83;4
12077396;RP SERVICE GROUP OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );11,75;0;240,09;
12077427;ANGE-LINE IIUTEENUSED OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );749,1;779,41;;1
12077462;RVKOOLITUS, OÜ;Äriühing;ei;HARIDUS;Harju ( Tallinn );1005,94;1122,77;;1
12077479;GK PUIDUÄRI OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Viljandi ( Mulgi vald );12913,54;0;77692,86;
12077491;TEHNOHALDUS OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );85779,65;3052,21;339762,54;1
12077500;A.K. KONTOR OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Pärnu ( Pärnu linn );4087,57;2432,41;10050,82;2
12077539;FUNKTSIOON, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Harku vald );3857,2;345,37;15930;
12077568;ABC KAMIN OÜ;Äriühing;jah;EHITUS;Võru ( Võru vald );2901,52;848,84;16382;1
12077605;EIKOPHOTO OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );1607,47;904,87;3589,92;
12077628;C.K.S, OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Lääne-Harju vald );0;0;0;
12077674;TOIFA, OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Põlva ( Põlva vald );;;0;
12077700;VADEKAS, OÜ;Äriühing;ei;HALDUS- JA ABITEGEVUSED;Pärnu ( Pärnu linn );730,95;817,26;;1
12077739;HIIUPITS OÜ;Äriühing;ei;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );983,34;1045,62;;
12077746;K.C.M INVEST OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Lääne ( Lääne-Nigula vald );121;0;600;
12077769;OSKA KEELI, OÜ;Äriühing;ei;HARIDUS;Harju ( Tallinn );1200,83;1323,01;;1
12077775;CLEVEREX OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Saku vald );938,81;838,36;6000;1
12077798;KR FINANTS OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Rapla ( Märjamaa vald );9,17;0;;1
12077864;HANSAKIDS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Narva linn );;;0;
12077870;HARTWENG, OÜ;Äriühing;jah;EHITUS;Lääne-Viru ( Rakvere vald );6777,76;7567,53;600;6
12077947;JASTY OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Hiiu ( Hiiumaa vald );234,81;26,4;8251,49;1
12077982;SANAPRAX OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Saare ( Saaremaa vald );1899,01;1728,88;;1
12078007;GREENINVEST OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Viljandi ( Viljandi vald );6480,49;1048,19;41081,01;2
12078013;TRANS SPORTING OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Lüganuse vald );19,67;0;1195,61;
12078036;DECOLAND OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );18018,01;6738,03;159956,09;3
12078094;RP PLUSS OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );4674,85;305,67;;
12078102;AEON ENGINEERING OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );8395,46;7790,83;17635;3
12078177;GOLDEXPERT OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );1302,45;881,05;15305,5;1
12078183;H8 CONSULT OÜ;Äriühing;jah;EHITUS;Pärnu ( Pärnu linn );3995,03;4504,42;557,38;2
12078220;LA CARAMELLA OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );2368,41;1320,61;14827,99;1
12078243;K-INVESTOR OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );1081,08;0;6860,28;
12078255;HT SOFTWARE, OÜ;Äriühing;jah;INFO JA SIDE;Tartu ( Elva vald );57;0;400;
12078272;NORDCOM BUILDING OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );1220,48;1076,44;;1
12078295;YR EHITUS OÜ;Äriühing;ei;EHITUS;Harju ( Tallinn );899,16;1007,4;;1
12078378;HOSPITALITY EBUSINESS STRATEGIES (HEBS DIGITAL) OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );72311,36;78364,66;0;3
12078421;METSAPULL OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Tartu ( Peipsiääre vald );6625,4;6533,79;0;1
12078444;RENEMAR TRADING OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Harku vald );;;0;
12078467;BEDROCK TRADE OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );5785,26;2237,42;30433,26;2
12078473;SITEN MÖÖBEL OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );183,55;0;;1
12078496;TAKHIRDZHON ABDUKARIMOV;FIE;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Narva linn );0;42,03;;1
12078510;HEGAR PUIT OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Pärnu ( Tori vald );1138,25;6969,44;74311;4
12078680;HANSATRAFFIC OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );2520,59;1182,46;6900;1
12078757;VELLE TEENUSED OÜ;Äriühing;jah;EHITUS;Viljandi ( Põhja-Sakala vald );2821,23;1271,64;24927;3
