Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
12728190;EXPO SELLER OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );132,01;0;600;
12728209;SCHWERIN HOLDING OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Viljandi ( Viljandi vald );;;;1
12728221;NKS AUTO 11 OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Pärnu ( Pärnu linn );8766,92;2822,04;91782,17;2
12728296;OÜ ITP ARENDUSPROJEKT;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );219,78;0;0;
12728356;EDLEN SERVICE OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Ida-Viru ( Narva linn );625,75;648,92;5292,48;1
12728362;SNIKARGLÄDJE I SVERIGE AB EESTI FILIAAL;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Võru ( Võru linn );45937,44;48450,07;254648,24;19
12728391;A.D.N. LOGISTICS OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );16,32;0;;
12728528;BELOPT LOGISTICS OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );12727,36;12851,36;374833,09;6
12728540;ALTHERMA OÜ;Äriühing;jah;EHITUS;Harju ( Kiili vald );2661,44;1947,68;16186,82;2
12728623;LEONID POLIICHUK;FIE;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Kambja vald );;;0;
12728669;K.V FINANTSKANDED OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Kambja vald );4313,02;1791,7;17446,93;1
12728675;SOLENTA OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Tartu ( Tartu linn );;;;1
12728698;OSAÜHING ERIARVE;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Ida-Viru ( Alutaguse vald );37,44;126,17;;2
12728764;MARINE24 OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );5035,2;0;24947,68;
12728793;SONDAREN OSAÜHING;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Alutaguse vald );0;0;1925,2;
12728818;POP KAUBANDUS OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );953,47;1029,99;;2
12728824;TEEDE TEKST OÜ;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Harju ( Tallinn );3157,45;1787,17;6813,31;1
12728861;X PROJEKT OÜ;Äriühing;jah;EHITUS;Harju ( Rae vald );864,82;485,7;10469,1;1
12728907;AT DEVELOPMENTS OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Tartu ( Tartu linn );;;126000;
12728913;GOBRIGHT OÜ;Äriühing;jah;EHITUS;Rapla ( Märjamaa vald );541,2;541,2;1934,3;1
